Replace Part DA? LM317 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with LM317 from Schlib1.SchLib
Replace Part DD? STM32F103C8T6 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with STM32F103C8T6 from Schlib1.SchLib
Replace Part DD? STP08DP05 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with STP08DP05 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part U? HC-05 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with HC-05 from Schlib1.SchLib
Replace Part XS? USB in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with USB from Schlib1.SchLib
